Estimator,MSE,seconds,dataset.kwargs.dataset
B: A + one SE rule,0.0581215607787828,0.1118421554565429,glass
C: A + theory split ratio,0.0069845494516209,0.4077322483062744,glass
D: B + C,0.0106240740364669,0.4988951683044433,glass
E: D + 100 K training/test splits,0.0069845494516209,4.921563148498535,glass
IPS,2.957790484787812e-06,0.0701541900634765,letter
DM,0.1510143572108835,0.0432865619659423,letter
DR,0.0001837914659737,0.0540223121643066,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0001837914659737,1.874589920043945,letter
B: A + one SE rule,0.0001837914659737,1.332641839981079,letter
C: A + theory split ratio,0.0001837914659737,3.792467594146729,letter
D: B + C,0.0001837914659737,2.360748529434204,letter
E: D + 100 K training/test splits,0.0001837914659737,40.45178890228272,letter
IPS,0.0033257392371219,0.0069367885589599,optdigits
DM,0.0150142639951911,0.1474738121032714,optdigits
DR,0.000103424227156,0.0155858993530273,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0150142639951911,2.925081968307495,optdigits
B: A + one SE rule,0.000103424227156,0.601764440536499,optdigits
C: A + theory split ratio,0.000103424227156,6.908809185028076,optdigits
D: B + C,0.000103424227156,5.350242137908936,optdigits
E: D + 100 K training/test splits,0.000103424227156,34.704071044921875,optdigits
IPS,7.07637273906513e-06,0.0021395683288574,page-blocks
DM,0.0014765491828198,0.0051302909851074,page-blocks
DR,3.839932495592372e-05,0.0037016868591308,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,7.07637273906513e-06,0.4158964157104492,page-blocks
B: A + one SE rule,7.07637273906513e-06,0.0871236324310302,page-blocks
C: A + theory split ratio,3.839932495592372e-05,0.2963011264801025,page-blocks
D: B + C,3.839932495592372e-05,0.2046267986297607,page-blocks
E: D + 100 K training/test splits,3.839932495592372e-05,2.2473132610321045,page-blocks
IPS,0.0002334744070635,0.0100879669189453,pendigits
DM,0.0497793688802687,0.0302517414093017,pendigits
DR,1.951247595034421e-05,0.0260133743286132,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,1.951247595034421e-05,0.9614758491516112,pendigits
B: A + one SE rule,1.951247595034421e-05,0.6188099384307861,pendigits
C: A + theory split ratio,1.951247595034421e-05,1.8297150135040283,pendigits
D: B + C,1.951247595034421e-05,1.4468052387237549,pendigits
E: D + 100 K training/test splits,1.951247595034421e-05,10.524027585983276,pendigits
IPS,0.0013729720734091,0.0018055438995361,satimage
DM,0.0174172670035376,0.0062603950500488,satimage
DR,9.196758702785257e-05,0.0038671493530273,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0013729720734091,0.2320723533630371,satimage
B: A + one SE rule,9.196758702785257e-05,0.297290563583374,satimage
C: A + theory split ratio,9.196758702785257e-05,0.5960590839385986,satimage
D: B + C,9.196758702785257e-05,0.4036777019500732,satimage
E: D + 100 K training/test splits,9.196758702785257e-05,7.362821578979492,satimage
IPS,5.0529080513938375e-05,0.0019724369049072,vehicle
DM,0.0094690836992514,0.0095653533935546,vehicle
DR,1.4293639844221058e-06,0.0054860115051269,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0094690836992514,0.2637920379638672,vehicle
B: A + one SE rule,1.4293639844221058e-06,0.1474421024322509,vehicle
C: A + theory split ratio,1.4293639844221058e-06,0.5773279666900635,vehicle
D: B + C,1.4293639844221058e-06,0.5947849750518799,vehicle
E: D + 100 K training/test splits,1.4293639844221058e-06,6.406708002090454,vehicle
IPS,0.0005016881965243,0.0047717094421386,yeast
DM,0.0055234518128431,0.0051877498626708,yeast
DR,0.0021346976863591,0.0162878036499023,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0005016881965243,0.4129600524902344,yeast
B: A + one SE rule,0.0005016881965243,0.2545866966247558,yeast
C: A + theory split ratio,0.0021346976863591,0.7864277362823486,yeast
D: B + C,0.0021346976863591,0.8355908393859863,yeast
E: D + 100 K training/test splits,0.0021346976863591,6.445444583892822,yeast
IPS,0.0245454231722389,0.0016918182373046,ecoli
DM,0.0014402782415251,0.0028584003448486,ecoli
DR,2.244374770939233e-05,0.0035963058471679,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0014402782415251,0.2438335418701172,ecoli
B: A + one SE rule,2.244374770939233e-05,0.15643310546875,ecoli
C: A + theory split ratio,2.244374770939233e-05,0.6362447738647461,ecoli
D: B + C,0.0014402782415251,0.6487390995025635,ecoli
E: D + 100 K training/test splits,2.244374770939233e-05,5.408236742019653,ecoli
IPS,0.0287995542115727,0.0021884441375732,glass
DM,0.0064391119311981,0.0026853084564208,glass
DR,0.0135173060424081,0.0063505172729492,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0064391119311981,0.2251560688018798,glass
B: A + one SE rule,0.0064391119311981,0.1186482906341552,glass
C: A + theory split ratio,0.0135173060424081,0.3938620090484619,glass
D: B + C,0.0064391119311981,0.3966679573059082,glass
E: D + 100 K training/test splits,0.0064391119311981,4.450328350067139,glass
IPS,2.1493104753457685e-06,0.0477197170257568,letter
DM,0.1484412603931849,0.0770237445831298,letter
DR,0.0001293717343158,0.1083343029022216,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0001293717343158,2.618267297744751,letter
B: A + one SE rule,0.0001293717343158,2.03497576713562,letter
C: A + theory split ratio,0.0001293717343158,5.530133247375488,letter
D: B + C,0.0001293717343158,5.392914772033691,letter
E: D + 100 K training/test splits,0.0001293717343158,30.05429530143737,letter
IPS,0.0029187114482392,0.010749340057373,optdigits
DM,0.015939179195474,0.0843276977539062,optdigits
DR,0.0003011308026711,0.0114450454711914,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.015939179195474,2.294518232345581,optdigits
B: A + one SE rule,0.0003011308026711,0.42818284034729,optdigits
C: A + theory split ratio,0.0003011308026711,4.9496588706970215,optdigits
D: B + C,0.0003011308026711,4.023414611816406,optdigits
E: D + 100 K training/test splits,0.0003011308026711,58.92510366439819,optdigits
IPS,0.0013106182892096,0.0048658847808837,page-blocks
DM,0.0009082556427694,0.0041911602020263,page-blocks
DR,1.6269797728522163e-06,0.0103976726531982,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,1.6269797728522163e-06,0.4660460948944092,page-blocks
B: A + one SE rule,0.0013106182892096,0.3290145397186279,page-blocks
C: A + theory split ratio,1.6269797728522163e-06,0.8121528625488281,page-blocks
D: B + C,1.6269797728522163e-06,0.8083987236022949,page-blocks
E: D + 100 K training/test splits,1.6269797728522163e-06,8.390593528747559,page-blocks
IPS,0.0001247746927276,0.010561466217041,pendigits
