Estimator,MSE,seconds,dataset.kwargs.dataset,logging_policy.kwargs.temperature,target_policy.kwargs.temperature
DRps \textsc{Slope},0.002626377732926,0.1602182388305664,ecoli,-1,10
DRps \ensuremath{\tt PAS{\text -}IF},0.002626377732926,9.471555233001707,ecoli,-1,10
IPS-$\lambda$ Original Tuning/Theory,0.0057338323559911,0.0125751495361328,ecoli,-1,10
IPS-$\lambda$ \ensuremath{\tt OCV_{IPS}},0.0038267792493401,1.2175922393798828,ecoli,-1,10
IPS-$\lambda$ \ensuremath{\tt OCV_{DR}},0.0256323193953396,3.1906814575195312,ecoli,-1,10
IPS-$\lambda$ \textsc{Slope},0.2381265421147185,0.0325100421905517,ecoli,-1,10
IPS-$\lambda$ \ensuremath{\tt PAS{\text -}IF},0.357613277482423,8.800224781036377,ecoli,-1,10
GroupIPS \ensuremath{\tt OCV_{IPS}},0.0001384558500395,0.609788179397583,ecoli,-1,10
GroupIPS \ensuremath{\tt OCV_{DR}},0.0001384558500395,0.928661584854126,ecoli,-1,10
GroupIPS \textsc{Slope},0.0001384558500395,0.0319716930389404,ecoli,-1,10
GroupIPS \ensuremath{\tt PAS{\text -}IF},0.0025134558055319,11.119035959243774,ecoli,-1,10
Everything \ensuremath{\tt OCV_{IPS}},0.0022675169219581,12.01651406288147,ecoli,-1,10
Everything \ensuremath{\tt OCV_{DR}},0.0027596480805118,21.519821643829346,ecoli,-1,10
Everything \ensuremath{\tt PAS{\text -}IF},0.357613277482423,11.752177953720093,ecoli,-1,10
TruncatedIPS Original Tuning/Theory,1.407324019894335e-07,0.001523733139038,ecoli,-1,-10
TruncatedIPS \ensuremath{\tt OCV_{IPS}},1.6106203958294404e-05,1.217951774597168,ecoli,-1,-10
TruncatedIPS \ensuremath{\tt OCV_{DR}},0.0001299484780688,3.310966968536377,ecoli,-1,-10
TruncatedIPS \textsc{Slope},0.0001672495922171,0.043034553527832,ecoli,-1,-10
TruncatedIPS \ensuremath{\tt PAS{\text -}IF},1.407324019894335e-07,10.270830631256104,ecoli,-1,-10
\textsc{Switch}-DR Original Tuning/Theory,6.449031331988476e-06,0.1551413536071777,ecoli,-1,-10
\textsc{Switch}-DR \ensuremath{\tt OCV_{IPS}},1.3355342916804277e-05,2.5835728645324707,ecoli,-1,-10
\textsc{Switch}-DR \ensuremath{\tt OCV_{DR}},1.3781769863600342e-05,4.226988554000855,ecoli,-1,-10
\textsc{Switch}-DR \textsc{Slope},1.4173324344217984e-05,0.080064058303833,ecoli,-1,-10
\textsc{Switch}-DR \ensuremath{\tt PAS{\text -}IF},6.307177771311637e-06,9.727691888809204,ecoli,-1,-10
CAB \ensuremath{\tt OCV_{IPS}},5.454000475167377e-08,3.3340625762939453,ecoli,-1,-10
CAB \ensuremath{\tt OCV_{DR}},0.0005959724663065,5.59748387336731,ecoli,-1,-10
CAB \textsc{Slope},6.211198518149103e-08,0.1099755764007568,ecoli,-1,-10
CAB \ensuremath{\tt PAS{\text -}IF},5.484453053241328e-08,8.912793159484863,ecoli,-1,-10
DRos Original Tuning/Theory,1.388178826506836e-05,0.1502721309661865,ecoli,-1,-10
DRos \ensuremath{\tt OCV_{IPS}},1.4052372599402538e-05,2.015089750289917,ecoli,-1,-10
DRos \ensuremath{\tt OCV_{DR}},2.7086812146623127e-05,4.015661716461182,ecoli,-1,-10
DRos \textsc{Slope},1.4368800806384172e-05,0.0851049423217773,ecoli,-1,-10
