Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
\ensuremath{\tt OCV_{DM}},0.05210484394290639,0.28488874435424805,pendigits
IPS,7.600635519290504e-05,0.0015842914581298828,satimage
DM,0.015197119224902265,0.0057086944580078125,satimage
DR,1.6301943291436159e-06,0.002694845199584961,satimage
\ensuremath{\tt OCV_{DM}},0.015197119224902265,0.20968914031982422,satimage
IPS,0.002164958218946841,0.0003769397735595703,vehicle
DM,0.011898688702721781,0.0019783973693847656,vehicle
DR,0.0030533209618016375,0.0005769729614257812,vehicle
\ensuremath{\tt OCV_{DM}},0.011898688702721781,0.086761474609375,vehicle
IPS,0.001734551318869158,0.0004923343658447266,yeast
DM,0.0003639059919978547,0.0028362274169921875,yeast
DR,0.00019088111043431645,0.0007276535034179688,yeast
\ensuremath{\tt OCV_{DM}},0.0003639059919978547,0.09210848808288574,yeast
IPS,0.0025309110887659575,0.0002841949462890625,ecoli
DM,0.004896600870955459,0.002293825149536133,ecoli
DR,0.0006170594039763044,0.00047969818115234375,ecoli
\ensuremath{\tt OCV_{DM}},0.004896600870955459,0.07387685775756836,ecoli
IPS,0.0067142510111833755,0.00025391578674316406,glass
DM,0.01796247231046491,0.0018968582153320312,glass
DR,0.018812240469104954,0.0004260540008544922,glass
\ensuremath{\tt OCV_{DM}},0.0067142510111833755,0.0784597396850586,glass
IPS,0.00011755001988993223,0.00922703742980957,letter
DM,0.14200013835317965,0.023940324783325195,letter
DR,0.00035854391650551895,0.018161535263061523,letter
\ensuremath{\tt OCV_{DM}},0.14200013835317965,0.7021536827087402,letter
IPS,0.00039092592172946665,0.001580953598022461,optdigits
DM,0.018716282423326455,0.008846759796142578,optdigits
DR,0.0006141968917448573,0.005815029144287109,optdigits
\ensuremath{\tt OCV_{DM}},0.018716282423326455,0.2740497589111328,optdigits
IPS,0.00011336474407321715,0.0009500980377197266,page-blocks
DM,0.000612722300205878,0.0026183128356933594,page-blocks
DR,4.2958296386868205e-05,0.0012731552124023438,page-blocks
\ensuremath{\tt OCV_{DM}},0.000612722300205878,0.12311601638793945,page-blocks
